,ast,blk,fg3_pct,fg_pct,ft_pct,g,losses,orb,pf,pts,school_name,stl,tov,trb,win_loss_pct,wins
241,491,81,.341,.482,.658,31,16,322,590,2645,Portland State,307,376,1064,.484,15
242,325,112,.373,.423,.740,33,22,278,581,2215,Portland,163,424,1098,.333,11
243,404,121,.350,.428,.703,33,20,292,700,2276,Prairie View,273,436,1019,.394,13
244,364,72,.346,.412,.686,30,25,300,519,1836,Presbyterian,143,451,979,.167,5
245,426,93,.378,.450,.738,30,7,247,482,2149,Princeton NCAA,200,298,1003,.767,23
246,471,98,.371,.448,.691,33,13,294,569,2319,Providence NCAA,218,412,1101,.606,20
247,640,87,.403,.479,.757,35,8,344,552,2790,Purdue NCAA,181,455,1322,.771,27
248,447,111,.326,.422,.683,31,21,432,607,2377,Quinnipiac,178,448,1223,.323,10
249,393,114,.345,.413,.666,32,18,396,550,2090,Radford,153,470,1219,.438,14
250,467,206,.332,.454,.668,35,10,409,725,2577,Rhode Island NCAA,227,389,1301,.714,25
251,484,129,.388,.462,.740,35,12,353,669,2853,Rice,221,524,1331,.657,23
252,592,67,.342,.471,.713,35,13,236,634,2596,Richmond,232,399,1078,.629,22
253,466,119,.332,.446,.672,33,15,421,650,2498,Rider,219,481,1331,.545,18
254,348,80,.319,.400,.648,33,19,363,671,2125,Robert Morris,261,497,1139,.424,14
255,360,153,.303,.411,.623,33,18,480,584,2163,Rutgers,217,437,1319,.455,15
256,408,135,.316,.459,.651,31,18,306,568,2204,Sacramento State,145,360,1100,.419,13
257,459,86,.335,.442,.701,32,19,361,617,2326,Sacred Heart,217,516,1194,.406,13
258,472,136,.391,.467,.692,34,17,342,551,2577,Saint Francis (PA),225,491,1243,.500,17
259,352,106,.324,.418,.650,31,20,351,547,2155,Saint Joseph's,150,371,1132,.355,11
260,423,95,.342,.404,.663,33,21,279,639,2026,Saint Louis,164,441,1093,.364,12
261,563,110,.394,.496,.745,34,5,324,512,2449,Saint Mary's (CA) NCAA,143,365,1205,.853,29
262,440,106,.381,.436,.701,36,13,297,571,2376,Saint Peter's,251,398,1182,.639,23
263,507,93,.316,.437,.686,34,13,401,758,2526,Sam Houston State,239,466,1283,.618,21
264,581,88,.395,.469,.743,36,16,345,678,2834,Samford,222,493,1300,.556,20
265,360,164,.317,.416,.698,33,14,350,572,2260,San Diego State,227,387,1199,.576,19
266,376,54,.348,.407,.721,31,18,254,600,2025,San Diego,121,379,1028,.419,13
267,428,92,.350,.449,.636,33,13,314,639,2362,San Francisco,220,415,1187,.606,20
268,417,124,.348,.441,.701,30,16,267,589,2195,San Jose State,190,377,1015,.467,14
269,464,65,.382,.436,.732,33,16,203,617,2204,Santa Clara,170,341,980,.515,17
270,501,94,.332,.410,.648,29,16,358,571,2485,Savannah State,226,431,1169,.448,13
271,476,62,.344,.433,.707,30,17,223,568,2091,Seattle,199,436,1011,.433,13
272,405,82,.338,.447,.643,33,12,439,613,2417,Seton Hall NCAA,228,449,1311,.636,21
